image_name,label,filepath,label_id
13505.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13505.jpg,1
11694.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\11694.jpg,0
9188.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9188.jpg,0
24432.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\24432.jpg,1
10521.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\10521.jpg,0
319.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\319.jpg,0
2935.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2935.jpg,0
2685.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2685.jpg,0
8378.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8378.jpg,0
12732.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\12732.jpg,1
15249.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\15249.jpg,1
21438.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\21438.jpg,1
4910.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\4910.jpg,0
2287.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2287.jpg,0
20610.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\20610.jpg,1
122.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\122.jpg,0
9456.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9456.jpg,0
8341.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8341.jpg,0
22826.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\22826.jpg,1
2390.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2390.jpg,0
9221.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9221.jpg,0
21808.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\21808.jpg,1
8810.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8810.jpg,0
2407.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2407.jpg,0
14722.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\14722.jpg,1
9282.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9282.jpg,0
9745.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\9745.jpg,0
7019.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\7019.jpg,0
10903.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\10903.jpg,0
15039.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\15039.jpg,1
18058.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\18058.jpg,1
13557.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13557.jpg,1
1529.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\1529.jpg,0
8133.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8133.jpg,0
21746.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\21746.jpg,1
6235.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\6235.jpg,0
12111.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\12111.jpg,0
691.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\691.jpg,0
7017.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\7017.jpg,0
8389.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8389.jpg,0
19589.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\19589.jpg,1
1825.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\1825.jpg,0
3740.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3740.jpg,0
2643.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2643.jpg,0
2205.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2205.jpg,0
2374.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2374.jpg,0
23991.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\23991.jpg,1
13472.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\13472.jpg,1
18886.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\18886.jpg,1
19825.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\19825.jpg,1
30.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\30.jpg,0
22222.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\22222.jpg,1
18618.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\18618.jpg,1
11543.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\11543.jpg,0
2366.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\2366.jpg,0
15636.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\15636.jpg,1
17497.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\17497.jpg,1
20049.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\20049.jpg,1
15536.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\15536.jpg,1
8714.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\8714.jpg,0
3774.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\3774.jpg,0
4519.jpg,cat,C:\Users\gpoke\catsdogs\dataset\images\4519.jpg,0
16058.jpg,dog,C:\Users\gpoke\catsdogs\dataset\images\16058.jpg,1
